Model,Actual Gloss Label,Total Ground Truth,Predicted Gloss Label,Number of Confusions,Percentage of Confusions,Notes
Transformer,NINE (28),94,SLOW (18),2,2.13%,Low Confusion
Transformer,NINE (28),94,FIVE (24),1,1.06%,Low Confusion
Transformer,NINE (28),94,EIGHT (27),9,9.57%,Moderate Confusion
Transformer,NINE (28),94,TEN (29),1,1.06%,Low Confusion
Transformer,NINE (28),94,FEBRUARY (31),3,3.19%,Low Confusion
Transformer,NINE (28),94,APRIL (33),2,2.13%,Low Confusion
Transformer,NINE (28),94,JUNE (35),1,1.06%,Low Confusion
Transformer,NINE (28),94,MONDAY (42),2,2.13%,Low Confusion
Transformer,NINE (28),94,WEDNESDAY (44),1,1.06%,Low Confusion
Transformer,NINE (28),94,THURSDAY (45),1,1.06%,Low Confusion
Transformer,NINE (28),94,SUNDAY (48),1,1.06%,Low Confusion
Transformer,NINE (28),94,TODAY (49),1,1.06%,Low Confusion
Transformer,NINE (28),94,MOTHER (53),2,2.13%,Low Confusion
Transformer,NINE (28),94,UNCLE (58),1,1.06%,Low Confusion
Transformer,NINE (28),94,COUSIN (60),2,2.13%,Low Confusion
Transformer,NINE (28),94,PARENTS (61),1,1.06%,Low Confusion
Transformer,NINE (28),94,GIRL (63),1,1.06%,Low Confusion
Transformer,NINE (28),94,DEAF BLIND (70),1,1.06%,Low Confusion
Transformer,NINE (28),94,WHITE (77),3,3.19%,Low Confusion
Transformer,NINE (28),94,LIGHT (83),1,1.06%,Low Confusion
Transformer,NINE (28),94,LONGANISA (92),1,1.06%,Low Confusion
Transformer,NINE (28),94,SHRIMP (93),1,1.06%,Low Confusion
Transformer,NINE (28),94,COLD (96),1,1.06%,Low Confusion
Transformer,NINE (28),94,JUICE (97),1,1.06%,Low Confusion
Transformer,NINE (28),94,MILK (98),2,2.13%,Low Confusion
Transformer,NINE (28),94,NO SUGAR (104),1,1.06%,Low Confusion
Transformer,TEN (29),94,GOOD MORNING (0),1,1.06%,Low Confusion
Transformer,TEN (29),94,GOOD AFTERNOON (1),2,2.13%,Low Confusion
Transformer,TEN (29),94,HOW ARE YOU (4),1,1.06%,Low Confusion
Transformer,TEN (29),94,NICE TO MEET YOU (6),2,2.13%,Low Confusion
Transformer,TEN (29),94,DON'T UNDERSTAND (11),3,3.19%,Low Confusion
Transformer,TEN (29),94,YES (15),2,2.13%,Low Confusion
Transformer,TEN (29),94,CORRECT (17),2,2.13%,Low Confusion
Transformer,TEN (29),94,SIX (25),1,1.06%,Low Confusion
Transformer,TEN (29),94,FEBRUARY (31),1,1.06%,Low Confusion
Transformer,TEN (29),94,MAY (34),1,1.06%,Low Confusion
Transformer,TEN (29),94,DECEMBER (41),1,1.06%,Low Confusion
Transformer,TEN (29),94,THURSDAY (45),1,1.06%,Low Confusion
Transformer,TEN (29),94,FRIDAY (46),2,2.13%,Low Confusion
Transformer,TEN (29),94,SUNDAY (48),1,1.06%,Low Confusion
Transformer,TEN (29),94,TOMORROW (50),1,1.06%,Low Confusion
Transformer,TEN (29),94,MOTHER (53),1,1.06%,Low Confusion
Transformer,TEN (29),94,GRANDFATHER (56),1,1.06%,Low Confusion
Transformer,TEN (29),94,GRANDMOTHER (57),2,2.13%,Low Confusion
Transformer,TEN (29),94,PARENTS (61),2,2.13%,Low Confusion
Transformer,TEN (29),94,DEAF (66),2,2.13%,Low Confusion
Transformer,TEN (29),94,DEAF BLIND (70),1,1.06%,Low Confusion
Transformer,TEN (29),94,RED (74),1,1.06%,Low Confusion
Transformer,TEN (29),94,BROWN (75),1,1.06%,Low Confusion
Transformer,TEN (29),94,WHITE (77),2,2.13%,Low Confusion
Transformer,TEN (29),94,YELLOW (78),1,1.06%,Low Confusion
Transformer,TEN (29),94,PINK (81),1,1.06%,Low Confusion
Transformer,TEN (29),94,BREAD (85),1,1.06%,Low Confusion
Transformer,TEN (29),94,RICE (91),1,1.06%,Low Confusion
Transformer,TEN (29),94,CRAB (94),1,1.06%,Low Confusion
Transformer,TEN (29),94,HOT (95),1,1.06%,Low Confusion
Transformer,TEN (29),94,MILK (98),2,2.13%,Low Confusion
Transformer,TEN (29),94,WINE (102),2,2.13%,Low Confusion
Transformer,TEN (29),94,SUGAR (103),1,1.06%,Low Confusion
Transformer,TEN (29),94,NO SUGAR (104),1,1.06%,Low Confusion
Transformer,JANUARY (30),77,GOOD MORNING (0),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,GOOD AFTERNOON (1),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,GOOD EVENING (2),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,NICE TO MEET YOU (6),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,UNDERSTAND (10),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,DON'T UNDERSTAND (11),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,YES (15),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,FAST (19),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,TWO (21),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,FOUR (23),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,FIVE (24),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,SIX (25),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,JUNE (35),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,AUGUST (37),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,MONDAY (42),2,2.60%,Low Confusion
Transformer,JANUARY (30),77,WEDNESDAY (44),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,DAUGHTER (55),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,GRANDMOTHER (57),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,UNCLE (58),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,PARENTS (61),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,HARD OF HEARING (67),3,3.90%,Low Confusion
Transformer,JANUARY (30),77,RED (74),2,2.60%,Low Confusion
Transformer,JANUARY (30),77,VIOLET (82),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,DARK (84),2,2.60%,Low Confusion
Transformer,JANUARY (30),77,EGG (86),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,JUICE (97),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,COFFEE (99),1,1.30%,Low Confusion
Transformer,JANUARY (30),77,BEER (101),1,1.30%,Low Confusion
Transformer,FEBRUARY (31),85,GOOD AFTERNOON (1),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,GOOD EVENING (2),2,2.35%,Low Confusion
Transformer,FEBRUARY (31),85,HELLO (3),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,THANK YOU (7),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,DON'T UNDERSTAND (11),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,KNOW (12),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,NO (14),2,2.35%,Low Confusion
Transformer,FEBRUARY (31),85,YES (15),2,2.35%,Low Confusion
Transformer,FEBRUARY (31),85,WRONG (16),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,CORRECT (17),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,ONE (20),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,TWO (21),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,THREE (22),2,2.35%,Low Confusion
Transformer,FEBRUARY (31),85,FIVE (24),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,SIX (25),2,2.35%,Low Confusion
Transformer,FEBRUARY (31),85,TEN (29),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,MARCH (32),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,MONDAY (42),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,THURSDAY (45),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,SUNDAY (48),3,3.53%,Low Confusion
Transformer,FEBRUARY (31),85,DAUGHTER (55),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,PARENTS (61),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,HARD OF HEARING (67),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,BLIND (69),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,DEAF BLIND (70),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,ORANGE (79),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,PINK (81),3,3.53%,Low Confusion
Transformer,FEBRUARY (31),85,LONGANISA (92),2,2.35%,Low Confusion
Transformer,FEBRUARY (31),85,CRAB (94),2,2.35%,Low Confusion
Transformer,FEBRUARY (31),85,COLD (96),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,TEA (100),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,BEER (101),1,1.18%,Low Confusion
Transformer,FEBRUARY (31),85,WINE (102),1,1.18%,Low Confusion
Transformer,MARCH (32),86,GOOD MORNING (0),1,1.16%,Low Confusion
Transformer,MARCH (32),86,HOW ARE YOU (4),1,1.16%,Low Confusion
Transformer,MARCH (32),86,DON'T KNOW (13),1,1.16%,Low Confusion
Transformer,MARCH (32),86,NO (14),1,1.16%,Low Confusion
Transformer,MARCH (32),86,YES (15),1,1.16%,Low Confusion
Transformer,MARCH (32),86,FAST (19),2,2.33%,Low Confusion
Transformer,MARCH (32),86,THREE (22),1,1.16%,Low Confusion
Transformer,MARCH (32),86,FIVE (24),1,1.16%,Low Confusion
Transformer,MARCH (32),86,SIX (25),2,2.33%,Low Confusion
Transformer,MARCH (32),86,JANUARY (30),8,9.30%,Moderate Confusion
Transformer,MARCH (32),86,SEPTEMBER (38),3,3.49%,Low Confusion
Transformer,MARCH (32),86,NOVEMBER (40),1,1.16%,Low Confusion
Transformer,MARCH (32),86,TUESDAY (43),1,1.16%,Low Confusion
Transformer,MARCH (32),86,SUNDAY (48),1,1.16%,Low Confusion
Transformer,MARCH (32),86,TOMORROW (50),1,1.16%,Low Confusion
Transformer,MARCH (32),86,MOTHER (53),2,2.33%,Low Confusion
Transformer,MARCH (32),86,DAUGHTER (55),1,1.16%,Low Confusion
Transformer,MARCH (32),86,COUSIN (60),1,1.16%,Low Confusion
Transformer,MARCH (32),86,HARD OF HEARING (67),1,1.16%,Low Confusion
Transformer,MARCH (32),86,GREEN (73),1,1.16%,Low Confusion
Transformer,MARCH (32),86,WHITE (77),1,1.16%,Low Confusion
Transformer,MARCH (32),86,YELLOW (78),2,2.33%,Low Confusion
Transformer,MARCH (32),86,PINK (81),2,2.33%,Low Confusion
Transformer,MARCH (32),86,VIOLET (82),1,1.16%,Low Confusion
Transformer,MARCH (32),86,DARK (84),1,1.16%,Low Confusion
Transformer,MARCH (32),86,EGG (86),2,2.33%,Low Confusion
Transformer,MARCH (32),86,MEAT (88),2,2.33%,Low Confusion
Transformer,MARCH (32),86,HOT (95),1,1.16%,Low Confusion
Transformer,MARCH (32),86,MILK (98),1,1.16%,Low Confusion
Transformer,MARCH (32),86,TEA (100),2,2.33%,Low Confusion
Transformer,MARCH (32),86,BEER (101),1,1.16%,Low Confusion
Transformer,MARCH (32),86,SUGAR (103),1,1.16%,Low Confusion
Transformer,APRIL (33),93,GOOD MORNING (0),2,2.15%,Low Confusion
Transformer,APRIL (33),93,GOOD EVENING (2),1,1.08%,Low Confusion
Transformer,APRIL (33),93,HELLO (3),1,1.08%,Low Confusion
Transformer,APRIL (33),93,HOW ARE YOU (4),1,1.08%,Low Confusion
Transformer,APRIL (33),93,IM FINE (5),1,1.08%,Low Confusion
Transformer,APRIL (33),93,NICE TO MEET YOU (6),2,2.15%,Low Confusion
Transformer,APRIL (33),93,SEE YOU TOMORROW (9),1,1.08%,Low Confusion
Transformer,APRIL (33),93,KNOW (12),1,1.08%,Low Confusion
Transformer,APRIL (33),93,WRONG (16),3,3.23%,Low Confusion
Transformer,APRIL (33),93,FAST (19),1,1.08%,Low Confusion
Transformer,APRIL (33),93,ONE (20),1,1.08%,Low Confusion
Transformer,APRIL (33),93,TWO (21),1,1.08%,Low Confusion
Transformer,APRIL (33),93,THREE (22),1,1.08%,Low Confusion
Transformer,APRIL (33),93,FIVE (24),1,1.08%,Low Confusion
Transformer,APRIL (33),93,SEVEN (26),1,1.08%,Low Confusion
Transformer,APRIL (33),93,TEN (29),1,1.08%,Low Confusion
Transformer,APRIL (33),93,FEBRUARY (31),1,1.08%,Low Confusion
Transformer,APRIL (33),93,MARCH (32),2,2.15%,Low Confusion
Transformer,APRIL (33),93,MAY (34),1,1.08%,Low Confusion
Transformer,APRIL (33),93,TOMORROW (50),1,1.08%,Low Confusion
Transformer,APRIL (33),93,MOTHER (53),1,1.08%,Low Confusion
Transformer,APRIL (33),93,DAUGHTER (55),1,1.08%,Low Confusion
Transformer,APRIL (33),93,GRANDMOTHER (57),1,1.08%,Low Confusion
Transformer,APRIL (33),93,DEAF (66),2,2.15%,Low Confusion
Transformer,APRIL (33),93,DEAF BLIND (70),1,1.08%,Low Confusion
Transformer,APRIL (33),93,MARRIED (71),1,1.08%,Low Confusion
Transformer,APRIL (33),93,BLUE (72),1,1.08%,Low Confusion
Transformer,APRIL (33),93,RED (74),1,1.08%,Low Confusion
Transformer,APRIL (33),93,BROWN (75),2,2.15%,Low Confusion
Transformer,APRIL (33),93,YELLOW (78),1,1.08%,Low Confusion
Transformer,APRIL (33),93,GRAY (80),1,1.08%,Low Confusion
Transformer,APRIL (33),93,SPAGHETTI (90),1,1.08%,Low Confusion
Transformer,APRIL (33),93,CRAB (94),1,1.08%,Low Confusion
Transformer,APRIL (33),93,HOT (95),1,1.08%,Low Confusion
Transformer,APRIL (33),93,COLD (96),2,2.15%,Low Confusion
Transformer,APRIL (33),93,JUICE (97),1,1.08%,Low Confusion
Transformer,APRIL (33),93,COFFEE (99),2,2.15%,Low Confusion
Transformer,APRIL (33),93,TEA (100),1,1.08%,Low Confusion
Transformer,APRIL (33),93,BEER (101),2,2.15%,Low Confusion
Transformer,MAY (34),90,GOOD EVENING (2),1,1.11%,Low Confusion
Transformer,MAY (34),90,HOW ARE YOU (4),1,1.11%,Low Confusion
Transformer,MAY (34),90,SEE YOU TOMORROW (9),1,1.11%,Low Confusion
Transformer,MAY (34),90,UNDERSTAND (10),1,1.11%,Low Confusion
Transformer,MAY (34),90,NO (14),1,1.11%,Low Confusion
Transformer,MAY (34),90,THREE (22),1,1.11%,Low Confusion
Transformer,MAY (34),90,FOUR (23),1,1.11%,Low Confusion
Transformer,MAY (34),90,FIVE (24),2,2.22%,Low Confusion
Transformer,MAY (34),90,NINE (28),1,1.11%,Low Confusion
Transformer,MAY (34),90,JANUARY (30),5,5.56%,Moderate Confusion
Transformer,MAY (34),90,MARCH (32),1,1.11%,Low Confusion
Transformer,MAY (34),90,APRIL (33),1,1.11%,Low Confusion
Transformer,MAY (34),90,JUNE (35),1,1.11%,Low Confusion
Transformer,MAY (34),90,JULY (36),5,5.56%,Moderate Confusion
Transformer,MAY (34),90,SEPTEMBER (38),3,3.33%,Low Confusion
Transformer,MAY (34),90,TODAY (49),2,2.22%,Low Confusion
Transformer,MAY (34),90,TOMORROW (50),1,1.11%,Low Confusion
Transformer,MAY (34),90,YESTERDAY (51),1,1.11%,Low Confusion
Transformer,MAY (34),90,FATHER (52),1,1.11%,Low Confusion
Transformer,MAY (34),90,MOTHER (53),1,1.11%,Low Confusion
Transformer,MAY (34),90,SON (54),1,1.11%,Low Confusion
Transformer,MAY (34),90,GRANDMOTHER (57),2,2.22%,Low Confusion
Transformer,MAY (34),90,UNCLE (58),1,1.11%,Low Confusion
Transformer,MAY (34),90,AUNTIE (59),2,2.22%,Low Confusion
Transformer,MAY (34),90,BOY (62),1,1.11%,Low Confusion
Transformer,MAY (34),90,DEAF (66),1,1.11%,Low Confusion
Transformer,MAY (34),90,MARRIED (71),1,1.11%,Low Confusion
Transformer,MAY (34),90,ORANGE (79),1,1.11%,Low Confusion
Transformer,MAY (34),90,PINK (81),1,1.11%,Low Confusion
Transformer,MAY (34),90,VIOLET (82),2,2.22%,Low Confusion
Transformer,MAY (34),90,LIGHT (83),1,1.11%,Low Confusion
Transformer,MAY (34),90,EGG (86),1,1.11%,Low Confusion
Transformer,MAY (34),90,RICE (91),1,1.11%,Low Confusion
Transformer,MAY (34),90,LONGANISA (92),1,1.11%,Low Confusion
Transformer,MAY (34),90,MILK (98),3,3.33%,Low Confusion
Transformer,MAY (34),90,TEA (100),1,1.11%,Low Confusion
Transformer,MAY (34),90,BEER (101),2,2.22%,Low Confusion
Transformer,MAY (34),90,NO SUGAR (104),1,1.11%,Low Confusion
Transformer,JUNE (35),80,HELLO (3),1,1.25%,Low Confusion
Transformer,JUNE (35),80,IM FINE (5),1,1.25%,Low Confusion
Transformer,JUNE (35),80,NICE TO MEET YOU (6),1,1.25%,Low Confusion
Transformer,JUNE (35),80,YOURE WELCOME (8),1,1.25%,Low Confusion
Transformer,JUNE (35),80,NO (14),1,1.25%,Low Confusion
Transformer,JUNE (35),80,WRONG (16),2,2.50%,Low Confusion
Transformer,JUNE (35),80,SLOW (18),1,1.25%,Low Confusion
Transformer,JUNE (35),80,FOUR (23),1,1.25%,Low Confusion
Transformer,JUNE (35),80,EIGHT (27),2,2.50%,Low Confusion
Transformer,JUNE (35),80,NINE (28),1,1.25%,Low Confusion
Transformer,JUNE (35),80,TEN (29),1,1.25%,Low Confusion
Transformer,JUNE (35),80,JANUARY (30),5,6.25%,Moderate Confusion
Transformer,JUNE (35),80,JULY (36),1,1.25%,Low Confusion
Transformer,JUNE (35),80,OCTOBER (39),1,1.25%,Low Confusion
Transformer,JUNE (35),80,WEDNESDAY (44),1,1.25%,Low Confusion
Transformer,JUNE (35),80,FRIDAY (46),1,1.25%,Low Confusion
Transformer,JUNE (35),80,SUNDAY (48),1,1.25%,Low Confusion
Transformer,JUNE (35),80,TODAY (49),1,1.25%,Low Confusion
Transformer,JUNE (35),80,TOMORROW (50),2,2.50%,Low Confusion
Transformer,JUNE (35),80,FATHER (52),1,1.25%,Low Confusion
Transformer,JUNE (35),80,MOTHER (53),1,1.25%,Low Confusion
Transformer,JUNE (35),80,DAUGHTER (55),1,1.25%,Low Confusion
Transformer,JUNE (35),80,UNCLE (58),1,1.25%,Low Confusion
Transformer,JUNE (35),80,GIRL (63),1,1.25%,Low Confusion
Transformer,JUNE (35),80,WOMAN (65),1,1.25%,Low Confusion
Transformer,JUNE (35),80,DEAF (66),1,1.25%,Low Confusion
Transformer,JUNE (35),80,DEAF BLIND (70),1,1.25%,Low Confusion
Transformer,JUNE (35),80,BLACK (76),1,1.25%,Low Confusion
Transformer,JUNE (35),80,YELLOW (78),1,1.25%,Low Confusion
Transformer,JUNE (35),80,SPAGHETTI (90),1,1.25%,Low Confusion
Transformer,JUNE (35),80,LONGANISA (92),1,1.25%,Low Confusion
Transformer,JUNE (35),80,SHRIMP (93),1,1.25%,Low Confusion
Transformer,JUNE (35),80,COLD (96),1,1.25%,Low Confusion
Transformer,JUNE (35),80,MILK (98),1,1.25%,Low Confusion
Transformer,JUNE (35),80,TEA (100),2,2.50%,Low Confusion
Transformer,JUNE (35),80,NO SUGAR (104),1,1.25%,Low Confusion
Transformer,JULY (36),85,GOOD AFTERNOON (1),1,1.18%,Low Confusion
Transformer,JULY (36),85,GOOD EVENING (2),1,1.18%,Low Confusion
Transformer,JULY (36),85,IM FINE (5),1,1.18%,Low Confusion
Transformer,JULY (36),85,UNDERSTAND (10),1,1.18%,Low Confusion
Transformer,JULY (36),85,CORRECT (17),1,1.18%,Low Confusion
Transformer,JULY (36),85,FAST (19),3,3.53%,Low Confusion
Transformer,JULY (36),85,THREE (22),2,2.35%,Low Confusion
Transformer,JULY (36),85,FOUR (23),1,1.18%,Low Confusion
Transformer,JULY (36),85,SIX (25),1,1.18%,Low Confusion
Transformer,JULY (36),85,SEVEN (26),1,1.18%,Low Confusion
Transformer,JULY (36),85,EIGHT (27),1,1.18%,Low Confusion
Transformer,JULY (36),85,JANUARY (30),7,8.24%,Moderate Confusion
Transformer,JULY (36),85,FEBRUARY (31),1,1.18%,Low Confusion
Transformer,JULY (36),85,JUNE (35),3,3.53%,Low Confusion
Transformer,JULY (36),85,MONDAY (42),2,2.35%,Low Confusion
Transformer,JULY (36),85,TUESDAY (43),1,1.18%,Low Confusion
Transformer,JULY (36),85,THURSDAY (45),1,1.18%,Low Confusion
Transformer,JULY (36),85,SATURDAY (47),1,1.18%,Low Confusion
Transformer,JULY (36),85,AUNTIE (59),3,3.53%,Low Confusion
Transformer,JULY (36),85,GIRL (63),1,1.18%,Low Confusion
Transformer,JULY (36),85,WEELCHAIR PERSON (68),1,1.18%,Low Confusion
Transformer,JULY (36),85,BLIND (69),1,1.18%,Low Confusion
Transformer,JULY (36),85,MARRIED (71),1,1.18%,Low Confusion
Transformer,JULY (36),85,RED (74),2,2.35%,Low Confusion
Transformer,JULY (36),85,BROWN (75),1,1.18%,Low Confusion
Transformer,JULY (36),85,MEAT (88),2,2.35%,Low Confusion
Transformer,JULY (36),85,HOT (95),4,4.71%,Low Confusion
Transformer,JULY (36),85,TEA (100),3,3.53%,Low Confusion
Transformer,JULY (36),85,BEER (101),3,3.53%,Low Confusion
Transformer,AUGUST (37),70,HELLO (3),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,YOURE WELCOME (8),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,KNOW (12),2,2.86%,Low Confusion
Transformer,AUGUST (37),70,YES (15),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,WRONG (16),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,SLOW (18),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,ONE (20),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,FOUR (23),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,EIGHT (27),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,NINE (28),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,MARCH (32),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,APRIL (33),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,JULY (36),3,4.29%,Low Confusion
Transformer,AUGUST (37),70,SEPTEMBER (38),3,4.29%,Low Confusion
Transformer,AUGUST (37),70,MONDAY (42),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,WEDNESDAY (44),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,TODAY (49),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,TOMORROW (50),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,YESTERDAY (51),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,UNCLE (58),2,2.86%,Low Confusion
Transformer,AUGUST (37),70,AUNTIE (59),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,BOY (62),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,HARD OF HEARING (67),2,2.86%,Low Confusion
Transformer,AUGUST (37),70,WEELCHAIR PERSON (68),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,BLACK (76),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,WHITE (77),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,ORANGE (79),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,LIGHT (83),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,BREAD (85),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,SPAGHETTI (90),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,JUICE (97),1,1.43%,Low Confusion
Transformer,AUGUST (37),70,TEA (100),1,1.43%,Low Confusion
Transformer,SEPTEMBER (38),87,GOOD AFTERNOON (1),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,GOOD EVENING (2),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,SEE YOU TOMORROW (9),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,UNDERSTAND (10),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,DON'T KNOW (13),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,YES (15),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,WRONG (16),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,CORRECT (17),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,FAST (19),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,EIGHT (27),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,TEN (29),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,JANUARY (30),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,FEBRUARY (31),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,MARCH (32),4,4.60%,Low Confusion
Transformer,SEPTEMBER (38),87,APRIL (33),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,JULY (36),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,NOVEMBER (40),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,YESTERDAY (51),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,MOTHER (53),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,SON (54),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,DAUGHTER (55),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,AUNTIE (59),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,GIRL (63),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,MAN (64),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,HARD OF HEARING (67),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,RED (74),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,VIOLET (82),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,DARK (84),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,BREAD (85),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,FISH (87),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,CHICKEN (89),2,2.30%,Low Confusion
Transformer,SEPTEMBER (38),87,CRAB (94),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,MILK (98),1,1.15%,Low Confusion
Transformer,SEPTEMBER (38),87,COFFEE (99),1,1.15%,Low Confusion
Transformer,OCTOBER (39),86,GOOD MORNING (0),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,GOOD AFTERNOON (1),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,HELLO (3),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,HOW ARE YOU (4),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,IM FINE (5),3,3.49%,Low Confusion
Transformer,OCTOBER (39),86,KNOW (12),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,WRONG (16),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,FAST (19),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,ONE (20),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,SIX (25),2,2.33%,Low Confusion
Transformer,OCTOBER (39),86,EIGHT (27),2,2.33%,Low Confusion
Transformer,OCTOBER (39),86,TEN (29),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,JANUARY (30),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,FEBRUARY (31),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,MARCH (32),1,1.16%,Low Confusion
Transformer,OCTOBER (39),86,JULY (36),2,2.33%,Low Confusion
Transformer,OCTOBER (39),86,TODAY (49),2,2.33%,Low Confusion
Transformer,OCTOBER (39),86,SON (54),1,1.16%,Low Confusion
