,GOOD MORNING (0),GOOD AFTERNOON (1),GOOD EVENING (2),HELLO (3),HOW ARE YOU (4),IM FINE (5),NICE TO MEET YOU (6),THANK YOU (7),YOURE WELCOME (8),SEE YOU TOMORROW (9),UNDERSTAND (10),DON’T UNDERSTAND (11),KNOW (12),DON’T KNOW (13),NO (14),YES (15),WRONG (16),CORRECT (17),SLOW (18),FAST (19),ONE (20),TWO (21),THREE (22),FOUR (23),FIVE (24),SIX (25),SEVEN (26),EIGHT (27),NINE (28),TEN (29),JANUARY (30),FEBRUARY (31),MARCH (32),APRIL (33),MAY (34),JUNE (35),JULY (36),AUGUST (37),SEPTEMBER (38),OCTOBER (39),NOVEMBER (40),DECEMBER (41),MONDAY (42),TUESDAY (43),WEDNESDAY (44),THURSDAY (45),FRIDAY (46),SATURDAY (47),SUNDAY (48),TODAY (49),TOMORROW (50),YESTERDAY (51),FATHER (52),MOTHER (53),SON (54),DAUGHTER (55),GRANDFATHER (56),GRANDMOTHER (57),UNCLE (58),AUNTIE (59),COUSIN (60),PARENTS (61),BOY (62),GIRL (63),MAN (64),WOMAN (65),DEAF (66),HARD OF HEARING (67),WEELCHAIR PERSON (68),BLIND (69),DEAF BLIND (70),MARRIED (71),BLUE (72),GREEN (73),RED (74),BROWN (75),BLACK (76),WHITE (77),YELLOW (78),ORANGE (79),GRAY (80),PINK (81),VIOLET (82),LIGHT (83),DARK (84),BREAD (85),EGG (86),FISH (87),MEAT (88),CHICKEN (89),SPAGHETTI (90),RICE (91),LONGANISA (92),SHRIMP (93),CRAB (94),HOT (95),COLD (96),JUICE (97),MILK (98),COFFEE (99),TEA (100),BEER (101),WINE (102),SUGAR (103),NO SUGAR (104)
UNDERSTAND (10),0,1,0,3,1,2,0,2,0,0,41,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,3,0,1,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,1,2,1,2,0,1,1,0,0,0,1,0,0,1,3,0,0
DON’T UNDERSTAND (11),1,1,0,2,0,0,0,0,0,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,0,0,0,1,0,2,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,1,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,1,0,1,3,0,0,1,1,0,2,1,0,0,3,0,0
KNOW (12),3,0,1,9,0,2,0,0,1,0,1,1,31,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,2,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
DON’T KNOW (13),2,0,0,3,0,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0
NO (14),0,1,0,0,1,0,1,0,0,1,0,0,0,0,46,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,1,1,1,0,0,0
YES (15),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,48,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,2,0,1,1,0,1,0,1,0
WRONG (16),0,0,2,1,0,0,0,0,0,3,0,0,0,0,1,2,53,0,0,0,0,0,0,0,1,1,2,0,1,0,0,2,0,1,0,0,1,0,1,0,1,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0
CORRECT (17),0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0
SLOW (18),0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAST (19),1,1,1,0,0,0,1,0,1,5,0,1,0,0,0,0,2,0,0,42,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0
ONE (20),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,40,5,0,0,0,0,0,0,0,3,0,2,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
TWO (21),0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,2,3,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
THREE (22),0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8,41,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,1,1,2,0,0,1
FOUR (23),1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,31,5,1,0,0,0,0,1,0,0,1,0,2,1,0,1,0,1,0,0,0,2,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,2,0,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0
FIVE (24),0,0,0,1,1,0,1,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,0,6,26,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,1,0,0,1,2,0,2,0,0,1,1,4,2,0,1,0,1,0,0,1,0,2,0,0
SIX (25),0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,6,0,0,0,33,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,0,0,0,0,1
SEVEN (26),0,1,0,0,1,0,3,1,1,0,1,0,1,1,4,3,0,0,1,0,0,0,0,1,0,5,23,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0
EIGHT (27),1,0,0,1,1,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,2,0,3,17,7,0,1,1,0,0,0,2,0,1,1,0,1,1,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0
NINE (28),2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,3,39,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1,2,0,0,0,1,1,1,0,0,1,0
TEN (29),0,3,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30,0,1,2,0,0,1,0,0,0,0,0,1,2,0,2,0,1,0,0,2,3,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,1,0,0,3,0,2,1,1,0,1,0,0,0,1
JANUARY (30),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,3,0,1,2,0,0,0,26,4,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
FEBRUARY (31),0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,42,3,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
MARCH (32),1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,1,0,47,1,0,1,0,0,3,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
APRIL (33),1,0,0,1,0,0,0,0,0,2,1,0,1,1,1,1,1,0,0,2,0,1,1,0,0,1,0,0,2,2,0,0,4,36,0,0,0,0,5,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,1,1,0,0,0
MAY (34),0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,25,1,3,13,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
JUNE (35),0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,9,6,5,3,2,0,2,0,1,1,0,1,0,0,0,1,1,0,0,1,4,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0
JULY (36),1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,3,18,4,0,0,0,4,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0
AUGUST (37),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28,1,1,0,10,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
SEPTEMBER (38),0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,42,5,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,2,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0
OCTOBER (39),0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,38,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
NOVEMBER (40),0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,7,5,36,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
DECEMBER (41),0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,43,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0
MONDAY (42),2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,28,3,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,3,0,2,0,1,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,2
TUESDAY (43),0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,51,0,7,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0
WEDNESDAY (44),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
THURSDAY (45),1,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,57,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
FRIDAY (46),1,0,1,2,0,0,1,0,1,0,0,0,1,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,27,0,27,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SATURDAY (47),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,50,0,1,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,1,0,0
SUNDAY (48),0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,52,5,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
TODAY (49),1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,44,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,1,1,0,1,0,0,0,0
TOMORROW (50),0,0,1,0,0,0,0,0,1,2,0,2,0,0,1,0,1,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,49,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
YESTERDAY (51),0,1,0,0,2,0,0,1,1,0,3,0,1,2,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,20,1,0,0,0,1,0,1,3,3,0,0,1,0,1,2,1,1,1,0,0,0,0,1,0,1,0,0,2,0,1,1,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
FATHER (52),0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,2,0,0,3,2,0,0,35,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,2,0,1,0,0
MOTHER (53),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3,1,1,0,0,1,0,0,0,0,1,3,0,0,21,0,0,0,18,0,1,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,1,1,0,1,0,1,0,0
SON (54),0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,0,2,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,4,1,0,1,1,1,0,0,1,0,21,0,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,3,1,1,1
DAUGHTER (55),0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2,0,2,0,0,0,1,46,0,4,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,1,0,2,0,0,0,2
