gloss_id,gloss_label,iv3gru_occluded_tp,iv3gru_occluded_fp,iv3gru_occluded_fn,iv3gru_occluded_count,iv3gru_nonoccluded_tp,iv3gru_nonoccluded_fp,iv3gru_nonoccluded_fn,iv3gru_nonoccluded_count,iv3gru_combined_tp,iv3gru_combined_fp,iv3gru_combined_fn,iv3gru_combined_count,transformer_occluded_tp,transformer_occluded_fp,transformer_occluded_fn,transformer_occluded_count,transformer_nonoccluded_tp,transformer_nonoccluded_fp,transformer_nonoccluded_fn,transformer_nonoccluded_count,transformer_combined_tp,transformer_combined_fp,transformer_combined_fn,transformer_combined_count
67,HARD OF HEARING,22,18,14,36,42,18,14,56,64,18,28,92,32,55,4,36,47,55,9,56,79,55,13,92
68,WEELCHAIR PERSON,0,8,0,0,28,8,71,99,28,8,71,99,0,30,0,0,89,30,10,99,89,30,10,99
69,BLIND,60,21,32,92,0,21,0,0,60,21,32,92,84,46,8,92,0,46,0,0,84,46,8,92
70,DEAF BLIND,63,57,28,91,0,57,1,1,63,57,29,92,77,40,14,91,1,40,0,1,78,40,14,92
71,MARRIED,53,33,11,64,27,33,2,29,80,33,13,93,60,37,4,64,26,37,3,29,86,37,7,93
72,BLUE,0,19,4,4,56,19,12,68,56,19,16,72,2,16,2,4,63,16,5,68,65,16,7,72
73,GREEN,1,35,2,3,60,35,12,72,61,35,14,75,3,23,0,3,61,23,11,72,64,23,11,75
74,RED,24,14,36,60,3,14,11,14,27,14,47,74,50,72,10,60,12,72,2,14,62,72,12,74
75,BROWN,5,15,0,5,54,15,17,71,59,15,17,76,4,19,1,5,61,19,10,71,65,19,11,76
76,BLACK,44,13,11,55,14,13,6,20,58,13,17,75,49,17,6,55,17,17,3,20,66,17,9,75
77,WHITE,1,22,1,2,23,22,58,81,24,22,59,83,1,71,1,2,73,71,8,81,74,71,9,83
78,YELLOW,2,21,0,2,33,21,43,76,35,21,43,78,2,22,0,2,68,22,8,76,70,22,8,78
