"# Training Configuration: epochs=40, batch_size=16"
"# Learning Rate: 0.0001, Weight Decay: 0.0, Alpha: 0.5, Beta: 0.5"
# Timestamp: 2025-09-20 02:15:28

epoch,train_loss,val_loss,val_gloss_acc,val_cat_acc,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved,alpha,beta,curriculum_phase
21,3.204249620437622,3.137007889924226,0.035211267605633804,0.607981220657277,0.0001,11.179245233535767,0.0,0.0,0.5,0.5,Balanced phase
22,3.075521469116211,3.122301278290925,0.03755868544600939,0.5938967136150235,0.0001,10.697100162506104,0.0,0.0,0.5,0.5,Balanced phase
23,2.934175968170166,3.103595009556523,0.03286384976525822,0.607981220657277,0.0001,10.986614227294922,0.0,0.0,0.5,0.5,Balanced phase
24,3.0922253131866455,3.0870604426772505,0.03286384976525822,0.6408450704225352,0.0001,10.891568422317505,0.0,0.0,0.5,0.5,Balanced phase
25,3.169227123260498,3.069017666357535,0.03286384976525822,0.6291079812206573,0.0001,10.906304597854614,0.0,0.0,0.5,0.5,Balanced phase
26,3.0409297943115234,3.053813793041088,0.03990610328638498,0.6643192488262911,0.0001,10.83336067199707,0.0,0.0,0.5,0.5,Balanced phase
27,3.1524627208709717,3.03440233513161,0.03755868544600939,0.6643192488262911,0.0001,10.846509456634521,0.0,0.0,0.5,0.5,Balanced phase
28,3.128633975982666,3.020055982801649,0.03755868544600939,0.647887323943662,0.0001,10.757363557815552,0.0,0.0,0.5,0.5,Balanced phase
29,2.96649169921875,3.0009500980377197,0.03755868544600939,0.7347417840375586,0.0001,10.817828178405762,0.0,0.0,0.5,0.5,Balanced phase
30,3.017429828643799,2.985634609504982,0.03755868544600939,0.7347417840375586,5e-05,11.079448461532593,0.0,0.0,0.5,0.5,Balanced phase
31,3.066805362701416,2.969675337826764,0.03990610328638498,0.744131455399061,5e-05,10.713078737258911,0.0,0.0,0.5,0.5,Balanced phase
32,2.9075136184692383,2.961127660892628,0.04225352112676056,0.744131455399061,5e-05,11.265882015228271,0.0,0.0,0.5,0.5,Balanced phase
33,3.0719103813171387,2.956963539123535,0.03755868544600939,0.7652582159624414,5e-05,11.61628770828247,0.0,0.0,0.5,0.5,Balanced phase
34,2.8869943618774414,2.944128469184593,0.04225352112676056,0.7723004694835681,5e-05,11.39591097831726,0.0,0.0,0.5,0.5,Balanced phase
35,3.0169336795806885,2.9361256493462458,0.04460093896713615,0.784037558685446,5e-05,11.184235334396362,0.0,0.0,0.5,0.5,Balanced phase
36,2.9310379028320312,2.9269506666395397,0.03990610328638498,0.795774647887324,5e-05,11.264743328094482,0.0,0.0,0.5,0.5,Balanced phase
37,2.8739423751831055,2.916882594426473,0.04225352112676056,0.8215962441314554,5e-05,11.050159931182861,0.0,0.0,0.5,0.5,Balanced phase
